When was Shakespeare baptized?	April 26, 1564
"How did Christopher Ricks describe Milton's verse in ""Milton's Grand Style""?"	As subtle and suggestive
"According to Harold Bloom in ""The Anxiety of Influence,"" Milton is what in relation to poetic influence in English?"	The central problem
What did Edmund Burke regard Milton's description of Hell as an example of?	Sublimity as an aesthetic concept
How did John Keats feel about Milton's style?	He found it unsuitable and overly complex
"What did Sandra Gilbert and Susan Gubar opine about Mary Shelley's novel ""Frankenstein"" in ""The Madwoman in the Attic""?"	"It was a key ‘Romantic’ reading of ""Paradise Lost"""
Who published an extensive edition of Milton's poetical works in 1749?	Thomas Newton
"What did Voltaire say about Milton in ""The Age of Louis XIV""?"	He was the glory and the wonder of England
"How did Samuel Johnson describe ""Paradise Lost""?"	A poem that may claim the first place in design
What did Percy Bysshe Shelley write about Milton's God and Devil?	Milton alleged no superiority of moral virtue to his God over his Devil
"According to C. S. Lewis in his ""Preface to Paradise Lost,"" what can every poem be considered as?"	An organization of words to produce a patterned experience
"What does Lewalski write about Satan's rhetoric of republicanism in ""Paradise Lost""?"	It signals Milton's profound disillusion with his own party and political discourse generally
What did Isaac Watts say about Milton in 1734?	He was the parent and author of blank verse among us
What did Dr. Johnson say about Milton's similes?	They were less numerous and more varied than those of his predecessors
"Which work contains the quotation ""All is, if I have grace to use it so, As ever in my great Taskmaster's eye""?"	Sonnet VII - On Being Arrived at the Age of Twenty Three
"In which work does Milton write ""Such sweet compulsion doth in music lies""?"	Arcades
"Which quotation is from ""Comus""?"	Above the smoke and stir of this dim spot, which men call earth
"From which work is the quote ""An old and haughty nation proud in arms""?"	Comus
"In which work does the quote ""Calling shapes and beckoning shadows dire, And airy tongues, that syllable men's names On sands, and shores, and desert wilderness"" appear?"	Comus
"Which work includes the line ""Tis chastity, my brother, chastity: She that has that, is clad in complete steel""?"	Comus
"Virtue may be assailed, but never hurt, Surprised by unjust force, but not enthralled"" is a quote from which work?	""Comus"	
"Which work contains the line ""Sweet bird that she shunn'st the noise of folly, Most musical, most melancholy!""?"	Il Penseroso
"Hide me from day's garish eye"" is a line from which work?	""Il Penseroso"	
"Which work includes the quote ""Right against the eastern gate, Where the great sun begins his estate""?"	L'Allegro
"In which work does the line ""Meadows trim with daisies pied"" appear?"	L'Allegro
"Which work contains the line ""Then to the well- trod stage anon, If Jonson's learned sock be on, Or sweetest Shakespeare fancy's child, Warble his native wood-notes wild""?"	L'Allegro
"Let us with a gladsome mind Praise the Lord, for he is kind, For his mercies ay endure, Ever faithful, ever sure"" is from which work?	""Let us with a gladsome mind"	
"Which work includes the quote ""Fame is no plant that grows on mortal soil""?"	Lycidas
"In which work does the line ""Look homeward angel now, and melt with Ruth"" appear?"	Lycidas
"What needs my Shakespeare for his honoured bones, The labour of an age in piled stones"" is a quote from which work?	""On Shakespeare"	
"Which work contains the lines ""This is the month, and this is the happy morn Wherein the son of heaven's eternal king, Of wedded maid, and virgin mother born, Our great redemption from above did bring""?"	On the Morning of Christ's Nativity
"In which work does the line ""Time will run back, and fetch the age of gold"" appear?"	On the Morning of Christ's Nativity
"New Presbyter is but old priest writ large"" is a quote from which work?	""On the New Forces of Conscience under the Long Parliament"	
"Which work includes the quote ""Fly envious time, till thou run out thy race, Call on the lazy leaden- stepping hours""?"	On Time
"In which part of ""Paradise Lost"" is the quote ""Rhyme being lame meter, but the invention of a barbarous age, to set off wretched matter"" found?"	"""The Verse"" (preface added 1668)"
"Who is referred to as ""The infernal serpent"" in ""Paradise Lost""?"	Satan
"Which quote from ""Paradise Lost"" reflects unconquerable will and courage?"	The study of revenge, immortal hate, And courage never to submit or yield
"Which book of ""Paradise Lost"" contains the quote ""What reinforcement we may gain from hope; If not, what resolution from despair""?"	Book 1
"In which book of ""Paradise Lost"" does ""The imperial ensign, which full high advanced, Shown like a meteor steaming to the wind"" appear?"	Book 1
"""Let not admire That riches grow in hell; that soil may Deserve the precious bane"" is a quote from which book?"	Book 1
"Who is described as sitting ""High on a throne of royal estate"" in ""Paradise Lost""?"	Satan
"Which character in ""Paradise Lost"" is described as ""in act more graceful and humane""?"	Belial
"In which book of ""Paradise Lost"" does the line ""To sit in darkness here Hatching vain empires"" appear?"	Book 2
"Which book of ""Paradise Lost"" contains the quote ""Long is the way And hard, that out of hell leads up to light""?"	Book 2
"""Eloquence the soul, song charms the senses"" is a quote from which book of ""Paradise Lost""?"	Book 2
"Which character in ""Paradise Lost"" is described as ""Black it stood as night, Fierce as ten Furies, terrible as hell, And shook a dreadful dart""?"	Death
"In which book of ""Paradise Lost"" does the line ""Die he or justice must"" appear?"	Book 3
"Which book of ""Paradise Lost"" contains the quote ""Hypocrisy, the only evil that walks Invisible, except to God alone""?"	Book 3
"In which book of ""Paradise Lost"" does ""At whose sight all the stars Hide their diminished heads"" appear?"	Book 4
"""Me miserable! which way shall I fly Infinite wrath, infinite despair? Which way] fly is hell; myself am hell"" is a quote from which book of ""Paradise Lost""?"	Book 4
"Who is described as sitting ""like a cormorant"" on the tree of life in ""Paradise Lost""?"	Satan
"In which book of ""Paradise Lost"" is Adam described as ""the goodliest man of men since born""?"	Book 4
"Which book of ""Paradise Lost"" includes the line ""These two Emparadised in one another's arms The happier Eden, shall enjoy their fill Of bliss on bliss""?"	Book 4
"""Now came still evening on, and twilight grey Had in her sober livery all things clad"" is a quote from which book of ""Paradise Lost""?"	Book 4
"Which book of ""Paradise Lost"" includes the quote ""Millions of spiritual creatures walk the earth Unseen, both when we wake, and when we sleep""?"	Book 4
"Who is described as ""Heaven's last best gift"" in ""Paradise Lost""?"	Eve
"In which book of ""Paradise Lost"" does the line ""Nor jealousy Was understood, the injured lover's hell"" appear?"	Book 5
"""What if earth Be but the shadow of heaven, and things therein Each to other like, more than one earth is thought"" is a quote from which book?"	Book 5
"Which book of ""Paradise Lost"" includes the quote ""Servant of God, well done, well hast thou fought The better fight""?"	Book 6
"Who does Milton invoke in the line ""Still govern thou my song, Urania, and fit audience find, though few""?"	Urania
"Which book contains the lines ""The planets in their stations listening stood, While the bright pomp ascended jubilant""?"	Book 7
"In which book of ""Paradise Lost"" does the line ""In solitude What happiness? who can enjoy alone"" appear?"	Book 8
"""Oft-times nothing profits more Than self-esteem, grounded on just and right Well managed"" is a quote from which book?"	Book 8
"In which book of ""Paradise Lost"" does the line ""The serpent subtlest beast of all the field"" appear?"	Book 9
"""God so commanded, and left that command Sole daughter of his voice"" is a quote from which book?"	Book 9
"Which book of ""Paradise Lost"" includes the quote ""Her rash hand in evil hour Forth reaching to the fruit, she plucked, she ate""?"	Book 9
"""Of fairest of creation, last and best Of all God's works"" is a description of whom?"	Eve
"In which book of ""Paradise Lost"" does the line ""Flesh of flesh, Bone of my bone thou art"" appear?"	Book 9
"""Yet I shall temper so justice with mercy"" is a quote from which book?"	Book 10
"Which book of ""Paradise Lost"" includes the quote ""For now I see Peace to corrupt no less than war to waste""?"	Book 11
"In which book of ""Paradise Lost"" does the line ""Then looking back, all eastern side beheld Of Paradise, so late their happy seat"" appear?"	Book 12
"""The world was all before them, where to choose Their place of rest, and Providence their guide"" is a quote from which book?"	Book 12
"In which book of ""Paradise Regained"" does the line ""Childhood shows the man, As morning shows the day"" appear?"	Book 4
"Which quote from ""Paradise Lost"" echoes the sentiment in Wordsworth's ""Child is the father of man""?"	Childhood shows the man, As morning shows the day
"In which work does the quote ""The sun to me is dark and silent as the moon"" appear?"	Samson Agonistes
"""Just are the ways of God, And justifiable to men; Unless there be who think not God at all"" is a quote from which work?"	Samson Agonistes
"Which work contains the line ""Yet beauty, though injurious, hath strange power, After offence returning, to regain Love once possessed""?"	Samson Agonistes
"""Like that self-begotten bird In the Arabian woods embossed, That no second knows nor third, And lay erewhile a holocaust"" is from which work?"	Samson Agonistes
"Which work includes the quote ""Nothing is here for tears, nothing to wail""?"	Samson Agonistes
"""Time the subtle thief of youth"" is a quote from which sonnet?"	Sonnet 7
"In which sonnet does the line ""License they mean when they cry liberty; For who loves that, must first be wise and good"" appear?"	Sonnet 12
"""Me thought I saw my late espoused saint Brought to me like Alcestis from the grave"" is from which sonnet?"	Sonnet 19
"In which work does Milton write ""Cromwell, our chief of men""?"	To the Lord General Cromwell
"Which work includes the line ""Peace hath her victories No less renowned than war""?"	To the Lord General Cromwell
"""He who would not be frustrate of his hope to write well hereafter in laudable things, ought himself to be a true poem"" is from which work?"	An Apology for Smectymnuus
"In which work does the quote ""They who have put out the people's eyes, reproach them of their blindness"" appear?"	An Apology for Smectymnuus
"""For this is not the liberty which we can hope, that no grievance ever should arise in the Commonwealth, that let no man in this world expect"" is a quote from which work?"	Areopagitica
"Which work includes the line ""As good almost kill amanas kill a good book""?"	Areopagitica
"In which work does the quote ""A good book is the precious life-blood of a master spirit, embalmed and treasured up on purpose to life beyond life"" appear?"	Areopagitica
"""I cannot praise a fugitive and cloistered virtue, and exercised and unbreathed, that never sallies out and sees her adversary"" is from which work?"	Areopagitica
"In which work does Milton write ""Here the great art lies, to discern in what the law is to be to restraint and punishment""?"	Areopagitica
"Which work includes the quote ""If you think to regulate printing, thereby to rectify manners, we must regulate all recreations and pastimes""?"	Areopagitica
"In which work does the quote ""A city of refuse, the mention-house of liberty"" appear?"	Areopagitica
"""Give me the liberty to know, to utter, and to argue freely according to conscience, above all liberties"" is from which work?"	Areopagitica
"Which work includes the quote ""Let not England forget her precedence of teaching nations how to live""?"	The Doctrine and Discipline of Divorce
"In which work does Milton write ""What I have spoken, is the language of that which is not called amiss The good old Cause""?"	The Ready and Easy Way to Establish a Free Commonwealth
"""The land had once enfranchised herself from this impertinent yoke of prelaty, under whose inquisitorious and tyrannical duncery no free and splendid wit can flourish"" is a quote from which work?"	The Reason of Church Government
"In which work does the quote ""Beholding the bright countenance of truth in the quiet and still air of delightful studies"" appear?"	The Reason of Church Government
"""None can love freedom heartily, but good men; the rest love not freedom, but licence"" is from which work?"	The Tenure of Kings and Magistrates
"Which work includes the quote ""No man who knows aught, can be so stupid to deny that all men naturally were born free""?"	The Tenure of Kings and Magistrates
"""Though all the winds of doctrine were let loose to play upon the earth, so Truth be in the field"" is a quote from which work?"	Areopagitica
"In which work does Milton write ""Let not England forget her precedence of teaching nations how to live""?"	The Doctrine and Discipline of Divorce
"""What I have spoken, is the language of that which is not called amiss The good old Cause"" is a quote from which work?"	The Ready and Easy Way to Establish a Free Commonwealth
"Which work includes the line ""The land had once enfranchised herself from this impertinent yoke of prelaty, under whose inquisitorious and tyrannical duncery no free and splendid wit can flourish""?"	The Reason of Church Government
"In which work does Milton write ""Beholding the bright countenance of truth in the quiet and still air of delightful studies""?"	The Reason of Church Government
"""None can love freedom heartily, but good men; the rest love not freedom, but licence"" is a quote from which work?"	The Tenure of Kings and Magistrates
"Which work includes the quote ""No man who knows aught, can be so stupid to deny that all men naturally were born free""?"	The Tenure of Kings and Magistrates
How many periods is Wordsworth's life divided into?	Four
What was the first period of Wordsworth's life?	His childhood and youth in Cumberland Hills
During which period did Wordsworth experience uncertainty?	Second period
What was the shortest period in Wordsworth's life?	Third period
Where did Wordsworth retire during the fourth period of his life?	Northern Lake region
When was Wordsworth born?	1778
How many siblings did Wordsworth have?	Four
Where did Wordsworth attend the Infants School?	Penrith
Who was Wordsworth's future wife?	Mary Hutchinson
Where did Wordsworth and his sister Dorothy settle after meeting Coleridge?	Alfoxden
What famous collection did Wordsworth and Coleridge plan together?	Lyrical Ballads
What profession did Wordsworth consider but find unsatisfactory?	Law
Who left Wordsworth an inheritance and requested that he dedicate his life to poetry?	Raisley Calvert
What political party did Wordsworth align with later in life?	Tory
What post did Wordsworth accept that brought him some 400 pounds a year?	Distributor of stamps for Westmoreland
In what year was Wordsworth appointed Poet Laureate?	1843
Who criticized Wordsworth as 'the lost leader' in his poem?	Robert Browning
Which university conferred upon Wordsworth the degree of DCL?	Oxford
Who left Wordsworth a legacy in 1827?	Sir George Beaumont
In what year was Wordsworth awarded a pension of £ 300 a year by the Crown?	1845
When did Wordsworth enter Saint John's College in Cambridge?	1787
In which year did Wordsworth graduate from Cambridge?	1791
What poem did Wordsworth express his experience of the French Revolution?	French Revolution
Which book influenced Wordsworth and his friend Robert Jones to tour the continent?	Sketches of the Natural, Civil, and Political State of Swisserland
In which year did Wordsworth make a walking tour of the continent?	1790
How long did Wordsworth stay in France during his second visit?	Over a year
What event in 1792 shook Wordsworth's faith in the French Revolution?	The September massacre
Which political group did Wordsworth join during his second visit to France?	Girondists or Moderate Republicans
Who criticized Wordsworth for his coolness towards the French Revolution?	Percy Bysshe Shelley and Lord Byron
Who did Wordsworth gain the friendship of, despite his changing views on the French Revolution?	Walter Scott
What was the title of Wordsworth's letter supporting the French Republic?	Letter to the Bishop of Llandaff
Which of Wordsworth's works reflects his passion for democracy?	Letter to the Bishop of Llandaff
What marked the beginning of Wordsworth's disillusionment with the French Revolution?	Bothaandb
"In which year was the poem ""Guilt and Sorrow"" composed?"	1791
"Under what title was ""Guilt and Sorrow"" published in 1798?"	The Female Vagrant
Who was the daughter of a surgeon at Blois that Wordsworth fell in love with?	Annette Vallon
What was the name of Wordsworth's daughter with Annette Vallon?	Caroline
Which work reflects Wordsworth's love affair with Annette Vallon?	Vaudracour and Julia
"When was ""Vaudracour and Julia"" composed?"	1804
"In which book of ""The Prelude"" was ""Vaudracour and Julia"" incorporated?"	Book IX
In September 1795, where did William and Dorothy Wordsworth settle?	Racedown Lodge
"Which quote from ""The Prelude"" reflects Wordsworth's appreciation for his sister?"	Maintained a saving intercourse / With my true self
Where did William and Dorothy Wordsworth live by December 1799?	Town End, Grasmere
What significant event happened in May 1802 affecting Wordsworth?	The death of Sir James Lowther, Earl of Lonsdale
Who did Wordsworth marry on October 2, 1802?	Mary Hutchinson
How many children did William and Mary Wordsworth have?	Five
"What tragic event in 1805 inspired Wordsworth's ""Elegiac Stanzas""?"	The shipwreck and death of his brother John
Which poem was inspired by the early deaths of two of Wordsworth's children?	Surprised by Joy
"When was the sonnet ""Surprised by Joy"" published?"	1815
Where did Wordsworth retire and spend the last half century of his life?	Lake District
In which year did Wordsworth pass away?	1850
What were Wordsworth's first two published poems in 1793?	An Evening Walk and Descriptive Sketches
How was Wordsworth's early poetry received by critics?	Mercilessly ridiculed
Which publication attacked Wordsworth's poetry?	The Edinburgh Review
"Who is the author of ""The Simplified,"" a parody of Wordsworth's work?"	Anonymous
Who did Wordsworth admire and write an elegy for in 1837?	Robert Burns
"Which period is famously known as the ""Great Decade"" of Wordsworth's poetry?"	1797-1808
Which work was published by Wordsworth in 1807?	Poems in Two Volumes
What is the title of the poem Wordsworth wrote about a river in 1820?	The River Duddon
Which of Wordsworth's works was published in 1822?	Ecclesiastical Sonnets
"Which political essay did Wordsworth write that agreed with Coleridge's periodical ""The Friend""?"	Concerning the Relations of Great Britain, Spain and Portugal... As Affected by the Convention of Cintra
What was the title of Wordsworth's essay written in 1810 about the scenery of the Lakes in the North of England?	A Description of the Scenery of the Lakes in the North of England
What was the title of the unfinished prose work in which Wordsworth set out his evolving ideas on justice and morality?	Essay on Morals
"In which year did Wordsworth write ""Letter to the Bishop of Llandaff""?"	1793
Which of Wordsworth's works presents a patriotic and nationalist view of European politics?	The Convention of Cintra
"What does ""The Convention of Cintra"" criticize?"	English policy on the Iberian Peninsula
"What is the title of Wordsworth's work that was described as ""nearly unreadable"" but important for understanding his political involvement?"	Two Addresses to the Freeholders of Westmoreland
"Who did Wordsworth praise in ""Two Addresses to the Freeholders of Westmoreland""?"	Edmund Burke
"Whose philosophy is reflected in several passages of ""The Prelude""?"	Edmund Burke
"What was the theme of Wordsworth's ""Letter to the Bishop of Llandaff""?"	A defense of the French Revolution
"When was the collection ""Poems in Two Volumes"" published?"	1807
"Which poem from ""Poems in Two Volumes"" was ridiculed in satirical circles and in the Edinburgh Review?"	We Are Seven
"How did Lord Byron describe Wordsworth's manner in ""Poems in Two Volumes""?"	Not simple, but puerile
"Which poem from ""Poems in Two Volumes"" begins with the line ""Earth has not anything to show more fair""?"	The Lines Composed Upon Westminster Bridge
In which collection did Wordsworth begin to work successfully with the sonnet form?	Poems in Two Volumes
"""Descriptive Sketches"" is a travel poem dealing with Wordsworth's tour of which place?"	The Alps
"Which political philosophy influenced ""Descriptive Sketches""?"	William Godwin's philosophy
"What year was ""An Evening Walk"" written?"	1793
"What is the verse form of ""An Evening Walk""?"	Heroic couplet
"""The Waggoner"" was composed in which year?"	1805
"""The White Doe of Rylstone"" is a narrative poem in how many cantos?"	Seven
"In which collection was ""The Green Linnet"" first published?"	Poems in Two Volumes
"What is the rhyming scheme of ""The Green Linnet""?"	AAABCCCB
"""The Green Linnet"" is written in which meter?"	Iambic tetrameter
"Where was ""The Green Linnet"" written?"	Town-end, Grasmere
"In which year was ""To the Cuckoo"" written?"	1802
"""To the Cuckoo"" was published in which year?"	1807
"How many stanzas does ""To the Cuckoo"" consist of?"	Eight
"What is the rhyming scheme of ""To the Cuckoo""?"	ABAB
"How does Wordsworth address the cuckoo in the poem ""To the Cuckoo""?"	"Blithe New-comer"" and ""darling of the summer"
"What is the rhyming scheme of the poem ""To the Skylark""?"	ABABCC
"In ""To the Skylark,"" how is the skylark addressed?"	Ethereal minstrel
"Where was ""To the Skylark"" composed?"	Rydal Mount
"Which poem was originally the second stanza of ""To the Skylark"" transferred to?"	A Morning Exercise
"Who wrote ""Ode to a Skylark""?"	P.B. Shelley
What is the title of Wordsworth's only play?	The Borderers
"During whose reign is ""The Borderers"" set?"	King Henry III
"When was ""The Borderers"" published?"	1842
"In which year was the first edition of ""Lyrical Ballads"" published?"	1798
"Who contributed ""The Rime of the Ancient Mariner"" to ""Lyrical Ballads""?"	Samuel Taylor Coleridge
"What was the complete title of the first edition of ""Lyrical Ballads""?"	Lyrical Ballads: With a Few Other Poems
"Which edition of ""Lyrical Ballads"" is known for the ""Preface to Lyrical Ballads""?"	Second Edition
"What year did the third edition of ""Lyrical Ballads"" come out?"	1802
"Which poem is the first in the ""Lyrical Ballads"" collection?"	The Rime of the Ancient Mariner
"How many poems did Wordsworth contribute to the first edition of ""Lyrical Ballads""?"	19
"In the ""Preface to Lyrical Ballads,"" Wordsworth attacked the poetic diction of which poet?"	Thomas Gray
"What concept did Wordsworth argue poetry should not be fettered by in the ""Preface""?"	Artificial conventions
"How did Coleridge describe the roles of himself and Wordsworth in ""Biographia Literaria""?"	Coleridge focused on supernatural, Wordsworth on everyday charm
"What phrase did Wordsworth aim to avoid in poetry according to his ""Preface""?"	Poetic diction
"In Wordsworth's opinion, what is more philosophical than ""gaudy inane phraseology""?"	Language of low and rustic life
"When was ""Laodamia"" first published?"	1815
"Which collection included ""Laodamia"" in its revised edition in 1845?"	Poems in Two Volumes
"What inspired Wordsworth to write ""Laodamia""?"	A short story from the Trojan War
Who was Laodamia's husband?	Protesilanus
What did Laodamia do after the death of her husband?	Performed a sacrifice to God
Which god brought Protesilanus's ghost to Laodamia?	Mercury
How long did Protesilanus stay with Laodamia after being brought back by Mercury?	Three hours
How did Laodamia die?	She committed suicide
Which poem did Hector kill Protesilanus in?	The Aeneid
"Where was ""Nutting"" written?"	Germany
"What category of poems does ""Nutting"" belong to?"	Poems of the Imagination
Which of the following is NOT a poem in the category of Poems of the Imagination?	To the Daisy
"What does ""Nutting"" deal with?"	The poet's memories of early school life
"In which collection was ""Character of a Happy Warrior"" published?"	Poems of Sentiment and Reflection
"When was ""Character of a Happy Warrior’ composed?"	1806
"Who is the poem ""Character of a Happy Warrior"" allusive to?"	Lord Nelson
"Which event prompted Wordsworth to write ""Character of a Happy Warrior""?"	The death of Lord Nelson
"What type of verse is used in ""Character of a Happy Warrior""?"	Heroic couplet
"What theme is explored in ""Character of a Happy Warrior""?"	Patriotism and moral duty
"Who received the verses of ""Character of a Happy Warrior"" from Wordsworth?"	George Beaumont
"When was ""Scorn Not the Sonnet"" published?"	1827
"Where was ""Sc"" composed?"	Rydal Lake
"Which of the following sonneteers is NOT mentioned in ""Scorn Not the Sonnet""?"	Keats
"When was ""The Thorn"" written?"	1789
"Who is the main character in ""The Thorn""?"	Martha Ray
"In which edition of ""Lyrical Ballads"" was ""The Thorn"" included?"	First Edition
"What is the full title of the poem ""Tintern Abbey""?"	Lines Composed a Few Miles Above Tintern Abbey, on Revisiting the Banks of the Wye During the Tour July 13, 1798
"Who were the companions of William Wordsworth when he composed ""Tintern Abbey""?"	Samuel Taylor Coleridge and Dorothy Wordsworth
"In which poetic form is ""Tintern Abbey"" written?"	Blank verse
"According to the information, what genre does ""Tintern Abbey"" fall within?"	Loco-descriptive genre
"What is the primary theme of ""Tintern Abbey""?"	Memories of pure communion with nature
"When was ""The Prelude"" published?"	1850
"What is ""The Prelude"" primarily about?"	Wordsworth's spiritual autobiography
"To whom is ""The Prelude"" addressed?"	ST Coleridge
"How many books were in the complete draft of ""The Prelude"" finished in 1805?"	13
"Who suggested the title ""The Prelude""?"	Mary Wordsworth
"Which book of ""The Prelude"" deals with Wordsworth's political awakening in France?"	Book 14
"What is the theme of Book 11 in ""The Prelude""?"	Imagination, how impaired and restored
"Who published an important edition of ""The Prelude"" in 1926?"	E. D) Selincourt
"What earlier poem did Wordsworth rework in Book 14 of ""The Prelude""?"	The French Revolution
"Who proposed the poem ""The Recluse"" to Wordsworth?"	Samuel Taylor Coleridge
"What is the first part of ""The Recluse"" titled?"	Home at Grasmere
"When was the first part of ""The Recluse"" published?"	1888
"How many books does ""The Excursion"" consist of?"	Nine
"When was ""The Excursion"" published?"	1814
"What poem was criticized in Francis Jeffrey's review stating ""this will never do""?"	The Excursion
"Which book of ""The Excursion"" contains the story of Margaret or ""The Ruined Cottage""?"	Book 1
"What did Wordsworth decline to publish in its radical form, later appearing in ""The Excursion""?"	Salisbury Plain
"When was the ""Ode on Intimations of Immortality’ completed?"	1804
"Under what title was ""Ode on Intimations of Immortality"" first published in Poems in Two Volumes (1807)?"	Ode
"In what year was the poem renamed to ""Ode: Intimations of Immortality""?"	1859
"Which type of ode is ""Intimations of Immortality""?"	Pindaric ode
"What paradoxical statement starts the ""Ode on Intimations of Immortality""?"	Child is the father of man
"What is ""Tables Turned"" about?"	The importance of nature
"When was ""Tables Turned"" published in ""Lyrical Ballads""?"	1798
"What is the companion piece to ""Tables Turned""?"	Expostulation and Reply
"How many stanzas does ""Tables Turned"" have?"	Eight
"Who was most probably the 'friend' in ""Tables Turned""?"	William Hazlitt
"In which collection was ""Tables Turned"" also published as ""An Evening Scene""?"	Poems in Two Volumes
"What form does ""Tables Turned"" take?"	Lyrical ballad
"Where were ""Expostulation and Reply"" and its companion poem ""The Tables Turned"" composed?"	Alfoxden
"What is the theme of ""Expostulation and Reply""?"	The superiority of nature over books
"Who was the poem ""Expostulation and Reply"" written after a conversation with?"	William Hazlitt
"How many stanzas does ""Expostulation and Reply' contain?"	Eight
"What is the rhyming scheme of ""The Solitary Reaper""?"	ABAB CCDD
"Who inspired Wordsworth's ""The Solitary Reaper""?"	Thomas Wilkinson
"What is the primary theme of ""The Solitary Reaper""?"	The beauty of music
"What language might the reaper's song in ""The Solitary Reaper"" be in?"	Scots Gaelic
"In which collection was ""The Solitary Reaper"" published?"	Poems in Two Volumes
"Where is ""French Revolution As It Appeared to Enthusiasts at Its Commencement"" placed in ""The Prelude""?"	Book 11
"When were the lines for ""French Revolution As It Appeared to Enthusiasts at Its Commencement"" written?"	1805
"Who published ""French Revolution As It Appeared to Enthusiasts at Its Commencement"" in the journal Friend?"	Samuel Taylor Coleridge
What does Wordsworth mean by ‘spots of time'?	Childhood memories that shape imagination
"How many lines does ""French Revolution As It Appeared to Enthusiasts at Its Commencement"" have?"	40
"What does the first twenty lines of ""The French Revolution"" describe?"	The breaking forth of a new life
"What is the significance of the second twenty lines of ""The French Revolution""?"	They describe the lofty and mild men who can mould the world
"Who is the ‘friend' referred to in ""Expostulation and Reply"" and ""The Tables Turned""?"	William Hazlitt
"Which publication first included ""Expostulation and Reply""?"	Lyrical Ballads
"What literary device is prominently used in ""The Solitary Reaper""?"	Metaphor
"What type of poem is ""Tables Turned""?"	Ballad
"What year was “Expostulation and Reply"" published?"	1798
"Which poetic form is used in ""The Solitary Reaper""?"	lambic tetrameter
"What does the poem ""Expostulation and Reply' assert about the senses?"	They open up the mind to nature's powers
"In what year was ""The Solitary Reaper"" published in Poems in Two Volumes?"	1807
"How does Wordsworth describe the significance of childhood events in ""The French Revolution""?"	As having a profound impact on imagination
"What is the rhyming scheme of the sonnet ""London 1802""?"	ABBA ABBA CDD ECE
"To whom is ""London 1802"" addressed?"	John Milton
"When was ""The Sparrow's Nest"" composed?"	1801
"Who is Emmeline in ""The Sparrow's Nest""?"	Dorothy Wordsworth
Which poem features a character named Matthew?	The Fountain
"What is another title for ""It is a Beauteous Evening, Calm and Free""?"	By the Sea
"Who is the subject of ""She Was a Phantom of Delight""?"	Mary Hutchinson
"In which collection was ""We Are Seven"" published?"	Lyrical Ballads
"Who is credited with composing the first stanza of ""We Are Seven""?"	Samuel Taylor Coleridge
"Where were most of the ""Lucy Poems"" written?"	Germany
"Which poem is NOT one of the ""Lucy Poems""?"	Lucy Gray
"Where is the setting for ""She Dwelt Among the Untrodden Ways""?"	Near the springs of Dove
"What theme does ""A Slumber Did My Spirit Seal"" primarily deal with?"	Immortality
"How many stanzas does ""She Dwelt Among the Untrodden Ways"" have?"	Three
"What is the rhyming scheme of ""A Slumber Did My Spirit Seal""?"	ABAB CDCD
"When was ""I Travelled Among Unknown Men"" believed to be dated?"	1801
"In which collection was ""The Sparrow's Nest"" published?"	Poems in Two Volumes
"What type of poem is ""The Fountain""?"	Lyric
"Which poem describes a character named Mathew as a ""grey haired man of glee""?"	The Fountain
"Who did Coleridge believe Lucy represented in ""Strange Fits of Passion Have I Known""?"	Dorothy Wordsworth
"What is another name for the poem ""Lucy Gray""?"	Solitude
"In which edition of ""Lyrical Ballads"" was ""Lucy Gray"" published?"	Second edition
"Who told Wordsworth the story that inspired ""Lucy Gray""?"	Dorothy Wordsworth
"Which poem is included in ""Poems Imagination""?"	A Night Piece
"What is the theme of ""A Night Piece""?"	A night lit by the moon
"What is ""Michael"" about?"	An old Shepherd and his family
"Who are the ""statesmen"" referred to in the context of ""Michael""?"	Small independent proprietors of land
"Which of Wordsworth's poems is known as the ""sheepfold poem""?"	Michael
"When was ""Resolution and Independence"" written?"	1802
"Who is referred to as the ""marvellous boy"" in ""Resolution and Independence""?"	Thomas Chatterton,
"Which poetic form is used in ""Resolution and Independence""?"	Rhyme royal
"Who parodied ""Peter Bell"" in ""Peter Bell the Third""?"	Percy Bysshe Shelley
What led Peter Bell to the cottage of the drowned man's widow?	A donkey
"Who painted the picture that inspired ""Elegiac Stanzas""?"	Sir George Beaumont
"What event prompted Wordsworth to write ""Elegiac Stanzas""?"	The death of his brother John
Where did Wordsworth's brother John go down with the ship The Abbergavenly?	Near the Isle of Portland
"In which collection was ""Elegiac Stanzas' published?"	Poems in Two Volumes
"What is the theme of ""Peter Bell""?"	A lawless porter who transforms
"When was ""A Night Piece"" published?"	1815
"Which poem includes the line ""We poets in our youth begin in gladness""?"	Resolution and Independence
"When was ""Ode to Duty"" composed?"	1804
"Which poet's model did Wordsworth follow for ""Ode to Duty""?"	Thomas Gray
"When was ""Upon the Westminster Bridge"" composed?"	1802
"What does ""Upon the Westminster Bridge"" describe?"	The beauty of London in the early morning
"When was ""Simon Lee: The Old Huntsman"" written and published?"	1798
"What is the main theme of ""Simon Lee: The Old Huntsman""?"	The changing phases of a person's life
"When was ""The Rainbow"" or ""My Heart Leaps Up"" written?"	1802
"What famous line from ""My Heart Leaps Up"" is used in ""Immortality Ode""?"	The child is the father of man
"When was ""Lines Written in Early Spring"" composed and published?"	1798
